,Ticker,L_buy_price,H_buy_price,H_sell_price,L_sell_price
0,APOLLOHOSP.NS,4282.212890625,4325.03501953125,4584.9775390625,4539.127763671875
1,BAJAJ-AUTO.NS,3559.896240234375,3595.4952026367187,3906.38916015625,3867.3252685546877
2,BRITANNIA.NS,4293.251953125,4336.18447265625,4647.671875,4601.19515625
3,COALINDIA.NS,209.63900756835938,211.73539764404296,220.23301696777344,218.0306867980957
4,DRREDDY.NS,4262.5869140625,4305.212783203125,4534.171875,4488.83015625
5,HDFC.NS,2572.822021484375,2598.5502416992185,2741.94580078125,2714.5263427734376
6,HDFCBANK.NS,1568.7410888671875,1584.4284997558593,1674.4952392578125,1657.7502868652343
7,MARUTI.NS,8249.5751953125,8332.070947265625,8948.1337890625,8858.652451171874
8,POWERGRID.NS,204.134765625,206.17611328125,221.90342712402344,219.6843928527832
9,RELIANCE.NS,2325.025634765625,2348.2758911132814,2438.924560546875,2414.5353149414063
10,TECHM.NS,1009.3820190429688,1019.4758392333985,1045.326416015625,1034.8731518554687
11,UPL.NS,709.8148803710938,716.9130291748047,770.6680297851562,762.9613494873047
12,WIPRO.NS,389.3835144042969,393.2773495483398,404.001220703125,399.9612084960938
